Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Škėvonys,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:08,negative,72,81.52,normal,positive,85,84.04,normal
Mažoji Senažiškė,183,Ąžuolų Būda–Kazlų Rūda,15,2023-11-15,09:01:23,negative,24,70.2,heavy,positive,43,70.47,normal
Kairiai,A9,Panevėžys–Šiauliai,15,2023-11-15,09:00:00,positive,77,98.39,heavy,negative,97,96.55,heavy
Klovainių gatvė,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:40,negative,443,90.99,normal,positive,595,83.9,normal
Trumpaičiai,1610,Dargiai–Jankūnai–Martyniškiai,15,2023-11-15,09:00:37,positive,0,,normal,negative,3,63.97,normal
Šeškiai,4605,Viešvėnai–Luokė–Upyna–Dirvonėnai,15,2023-11-15,09:00:39,positive,1,94.9,normal,negative,1,76.6,normal
Vijoliai,A11,Šiauliai–Palanga,15,2023-11-15,09:00:00,positive,76,75.35,normal,negative,88,71.96,normal
Diktarai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:08,positive,21,81.03,heavy,negative,21,76.61,heavy
Didžioji Riešė,A14,Vilnius–Utena,15,2023-11-15,09:00:00,negative,192,76.21,heavy,positive,124,68.09,heavy
Čeberakai,177,Visaginas–Ignalinos AE,15,2023-11-15,09:01:32,negative,7,85.89,normal,positive,10,87.93,normal
Vilijampolė,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,positive,887,84.06,normal,negative,325,79.6,normal
Upytė,195,Kėdainiai–Krekenava–Panevėžys,15,2023-11-15,09:01:35,negative,19,81.33,normal,positive,31,90.34,normal
Tautušiai,225,Raseiniai–Baisogala,15,2023-11-15,09:00:08,positive,6,91.95,normal,negative,6,94.62,normal
Naudžiai,187,Gižai–Pilviškiai,15,2023-11-15,09:01:23,positive,16,95.63,normal,negative,10,92.82,normal
Sirutėnai,4921,Sirutėnai–Juodiškis,15,2023-11-15,09:00:00,positive,1,59.1,heavy,negative,0,,normal
Butrimonys,3305,Stakliškės–Butrimonys,15,2023-11-15,09:00:16,negative,3,50.73,slow,positive,1,67.9,normal
