roadNr,roadSegments,date
A4,"[{'direction': 'negative', 'startX': 514387.73, 'startY': 6003704.95, 'endX': 504962.01, 'endY': 5988429.96, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 46, 'averageSpeed': 83.53, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 514387.73, 'startY': 6003704.95, 'endX': 513617.84, 'endY': 6003360.32, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 32, 'averageSpeed': 88.16, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
3520,[],2023-11-12T15:01:22.000+0000
5316,"[{'direction': 'negative', 'startX': 553508.23, 'startY': 6165904.66, 'endX': 555668.25, 'endY': 6167490.98, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 2, 'averageSpeed': 52.1, 'trafficType': 'slow'}, {'direction': 'positive', 'startX': 553508.23, 'startY': 6165904.66, 'endX': 555668.25, 'endY': 6167490.98, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 1, 'averageSpeed': 44.6, 'trafficType': 'slow'}]",2023-11-12T15:00:00.000+0000
A1,[],2022-04-06T10:25:10.000+0000
215,"[{'direction': 'negative', 'startX': 445604.29, 'startY': 6190694.93, 'endX': 445552.18, 'endY': 6190778.49, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 56, 'averageSpeed': 76.5, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 445604.29, 'startY': 6190694.93, 'endX': 445533.88, 'endY': 6190814.18, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 18, 'averageSpeed': 71.42, 'trafficType': 'heavy'}]",2023-11-12T15:01:30.000+0000
114,"[{'direction': 'negative', 'startX': 601091.12, 'startY': 6122635.64, 'endX': 612723.8, 'endY': 6127193.53, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 12, 'averageSpeed': 60.24, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 601091.12, 'startY': 6122635.64, 'endX': 612723.8, 'endY': 6127193.53, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 8, 'averageSpeed': 55.79, 'trafficType': 'normal'}]",2023-11-12T15:01:26.000+0000
5228,"[{'direction': 'positive', 'startX': 582017.75, 'startY': 6043648.75, 'endX': 585036.98, 'endY': 6044081.14, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 2, 'averageSpeed': 75.55, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 582017.75, 'startY': 6043648.75, 'endX': 585036.98, 'endY': 6044081.14, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
130,"[{'direction': 'negative', 'startX': 491178.56, 'startY': 6075073.09, 'endX': 496942.22, 'endY': 6065154.72, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 117, 'averageSpeed': 66.64, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 491178.56, 'startY': 6075073.09, 'endX': 496942.22, 'endY': 6065154.72, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 55, 'averageSpeed': 70.62, 'trafficType': 'normal'}]",2023-11-12T15:01:02.000+0000
1922,"[{'direction': 'negative', 'startX': 485241.09, 'startY': 6093787.64, 'endX': 484854.71, 'endY': 6098357.75, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 6, 'averageSpeed': 100.93, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 485241.09, 'startY': 6093787.64, 'endX': 484854.71, 'endY': 6098357.75, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 3, 'averageSpeed': 64.33, 'trafficType': 'normal'}]",2023-11-12T15:01:04.000+0000
A1,"[{'direction': 'positive', 'startX': 513853.55, 'startY': 6082326.87, 'endX': 503257.15, 'endY': 6087930.94, 'winterSpeed': 100, 'summerSpeed': 100, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 513847.62, 'startY': 6082316, 'endX': 503255.37, 'endY': 6087915.86, 'winterSpeed': 120, 'summerSpeed': 110, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
1201,"[{'direction': 'negative', 'startX': 570679.28, 'startY': 6128602.17, 'endX': 569952.69, 'endY': 6124320.43, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 3, 'averageSpeed': 79.97, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 570679.28, 'startY': 6128602.17, 'endX': 569952.69, 'endY': 6124320.43, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 4, 'averageSpeed': 63.85, 'trafficType': 'normal'}]",2023-11-12T15:00:05.000+0000
